window_size,sma_window_size,best_silhouette_score,best_count_of_clusters
7,31,0.2291695707936874,40
7,32,0.22997047929561004,36
7,33,0.24429300051574984,37
7,34,0.21086519224817274,39
7,35,0.20878471838942553,37
7,36,0.22974543057723912,33
7,37,0.22564744025094363,32
7,38,0.24144350798734462,38
7,39,0.23929669034300455,40
7,40,0.22326724685478497,36
7,41,0.24165093827847825,40
7,42,0.24774109563259622,40
7,43,0.22300688576014308,32
7,44,0.2321665568699126,38
7,45,0.23136573050234777,36
7,46,0.24911805187507643,40
7,47,0.21617404666075965,34
7,48,0.2444096702072339,38
7,49,0.23248797010300265,40
8,10,0.1970283337114658,38
8,11,0.19647032244352183,38
8,12,0.19989861222695457,39
8,13,0.20552233966427083,40
8,14,0.201776614984543,39
8,15,0.17879204963237696,32
8,16,0.18728212380836257,36
8,17,0.1909594899647521,40
8,18,0.17204564154245802,24
8,19,0.16933979451279887,29
8,20,0.1712038136749614,27
8,21,0.1649166943476131,27
8,22,0.18033824030686546,32
8,23,0.16188561874364238,24
8,24,0.16989994099721353,36
8,25,0.15847402597305113,24
8,26,0.1670451374319837,17
8,27,0.1790328953471078,40
8,28,0.16795291605776677,40
8,29,0.17372108105162207,32
8,30,0.17111266033336045,38
8,31,0.18681231784475283,38
8,32,0.18150600443496723,35
8,33,0.19202822476680698,34
8,34,0.16709260671677234,37
8,35,0.17372240755573543,40
8,36,0.18892400369443094,35
8,37,0.18293719367281266,38
8,38,0.18564925675256888,40
8,39,0.17615132053457547,34
8,40,0.17087537206759446,40
8,41,0.16509702739609247,40
8,42,0.18238543203449353,32
8,43,0.1946743951916747,40
8,44,0.18293931417825454,39
8,45,0.16019380386289211,22
8,46,0.1629055555436927,34
8,47,0.19932827046144613,39
8,48,0.1700983437638706,40
8,49,0.153320343026056,38
9,10,0.15844584547048013,31
9,11,0.1606395737447847,40
9,12,0.15828825775752217,26
9,13,0.15903984143923847,37
9,14,0.1543523190324413,37
9,15,0.1619420419324782,40
9,16,0.15704732372776153,34
9,17,0.15531662453715206,39
9,18,0.15120618446651066,24
9,19,0.13907953743541263,38
9,20,0.14345327489390952,29
9,21,0.1402199215486976,38
9,22,0.1348358906994933,29
9,23,0.1393174579916524,24
9,24,0.13503316518098946,36
9,25,0.1411764559113671,38
9,26,0.15128074948887082,34
9,27,0.1481573328448068,36
9,28,0.14834123219689155,40
9,29,0.13705812095663159,38
9,30,0.14889266909190096,38
9,31,0.15285827803104293,40
9,32,0.15123319257743814,34
9,33,0.16408929797053087,40
9,34,0.13896135705618312,39
9,35,0.14573866128410334,29
9,36,0.15721514982656343,38
9,37,0.1514675038206974,38
9,38,0.15116334642496107,37
9,39,0.1381575505197733,35
9,40,0.1531988103098746,28
9,41,0.1713900212265964,31
9,42,0.1443566245138057,39
9,43,0.15254858075828678,40
9,44,0.151222741468774,36
9,45,0.1393401002144673,40
9,46,0.15748149181564047,37
9,47,0.15837264496750494,40
9,48,0.13924967216542347,36
9,49,0.14192957825485467,24
10,10,0.14040019550362617,39
10,11,0.12356226027461713,19
10,12,0.11832209768920512,23
10,13,0.12486465443157843,40
10,14,0.1327950090043283,40
10,15,0.13895587507498652,23
10,16,0.142864008264822,35
10,17,0.12094672790944626,16
10,18,0.11938328401233861,24
10,19,0.11791062496950334,32
10,20,0.11635393651974178,18
10,21,0.10842624614611288,35
10,22,0.11238017298420844,26
10,23,0.11410213923194278,15
10,24,0.11630860184686,16
10,25,0.11909237840848645,37
10,26,0.116901869545023,40
10,27,0.12983329785053582,38
10,28,0.11249747547952577,40
10,29,0.12975083121759218,34
10,30,0.1244059898387922,37
10,31,0.12776878388854518,39
10,32,0.12700862261581292,40
10,33,0.11042576608363544,2
10,34,0.11736365771984213,39
10,35,0.13363603819223452,40
10,36,0.12582415676939848,21
10,37,0.12644481296995874,23
10,38,0.12441143692849622,34
10,39,0.11843122079282431,21
10,40,0.11686411429093892,25
10,41,0.13836563559980342,39
10,42,0.1320513917297742,40
10,43,0.13064010760881792,38
10,44,0.11564434124415746,39
10,45,0.12469230835665782,35
10,46,0.13139965124930222,36
10,47,0.11399162384813072,40
10,48,0.10617688903908225,28
10,49,0.12042615404325381,33
11,10,0.11221077039793197,17
11,11,0.1055627412436605,33
11,12,0.10742046630995629,27
11,13,0.10605629745294087,33
11,14,0.11095913307961072,20
11,15,0.11486957842150068,40
11,16,0.1162319938518829,37
11,17,0.10876325074905763,24
11,18,0.10489109104178404,29
11,19,0.10116721180262313,39
11,20,0.10765139865807852,34
11,21,0.0918743394969447,32
11,22,0.09827160310865803,25
11,23,0.09894748229472745,16
